zip_code_tabulation_area	B24091_001E
03777	57188
03779	40750
03780	44500
03781	54417
03782	45440
03784	52341
03785	35383
03801	58242
03809	49706
03810	51250
03811	73525
03812	41000
03813	40948
03814	46190
03816	42000
03817	64510
03818	40250
03819	56994
03820	48236
03823	65074
03824	62340
03825	51456
03826	61510
03827	64141
03830	44734
03832	48750
03833	65660
03835	46181
03836	40096
03837	52344
03838	32156
03839	39318
03840	78155
03841	64694
03842	56243
03844	76741
03845	31590
03846	39464
03847	36279
03848	57776
03849	42188
03850	59313
03851	42151
03852	62629
03853	29250
03854	92614
03855	49974
03856	75536
03857	47928
03858	58961
03860	42369
03861	65417
03862	64492
03864	61103
03865	53506
03867	42492
03868	43173
03869	52074
03870	65402
03871	-666666666
03872	53965
03873	62875
03874	48603
03875	37361
03878	45356
03882	41324
03883	-666666666
03884	51094
03885	84181
03886	40948
03887	49837
03890	31417
03894	51673
03901	49320
03902	66779
03903	50570
03904	50582
03905	80452
03906	47289
03907	72692
03908	50419
03909	69867
03910	46852
03911	-666666666
04001	44375
04002	44405
04003	46364
04005	37692
04006	32273
04008	53287
04009	34789
04010	39886
04011	46214
04015	42981
04017	50588
04019	-666666666
04020	49464
04021	68451
04022	42206
04024	42813
04027	43038
04029	46691
04030	52519
04032	52656
04037	36067
04038	52220
04039	44205
04040	43472
04041	35950
04042	45526
04043	58866
04046	50477
04047	45025
04048	44907
04049	40164
04050	60156
04051	45000
04055	53092
04056	34167
04057	-666666666
04061	47312
04062	47351
04063	61250
04064	48735
04066	59861
04068	31472
04069	49167
04071	53912
04072	48107
04073	40933
04074	63526
04076	42167
04079	52298
04083	40527
04084	48913
04085	50298
04086	47979
04087	50848
04088	41579
04090	50960
04091	41806
04092	45011
04093	43008
04095	34554
04096	61302
04097	65286
04101	36516
04102	42855
04103	50595
04105	74960
04106	50962
04107	72531
04108	46250
04109	63750
04110	78854
04210	42357
04216	35417
04217	40123
04219	31795
04220	40859
04221	42250
04222	46574
04224	40521
04226	42440
04227	-666666666
04228	-666666666
04231	32222
04234	-666666666
04236	43301
04237	59375
04238	40781
04239	46275
04240	37601
04250	37787
04252	36754
04253	49318
04254	33424
04255	35132
04256	41239
04257	32839
04258	41332
04259	44304
04260	48706
04261	39583
04263	39345
04265	35145
04267	-666666666
04268	32266
04270	32489
04271	-666666666
04274	36578
04275	38500
04276	37730
04280	44929
04281	37316
04282	47770
04284	55580
04285	40197
04286	49321
04287	41190
04289	36576
04290	40917
04292	40893
04294	40850
04330	41023
04342	44375
04343	-666666666
04344	37338
04345	45074
04346	36901
04347	50398
04348	35911
04349	44886
04350	51473
04351	49413
04352	41452
04353	41732
04354	41016
04355	43679
04357	42095
04358	38084
04359	45197
04360	37656
04363	38932
04364	47261
04401	40666
04406	35625
04408	42917
04410	39625
04411	36345
04412	42415
04413	36607
04414	35694
04415	38125
04416	40213
04417	32031
04418	33068
04419	42591
04421	47625
04422	36552
04424	28816
04426	41240
04427	38068
04428	41076
04429	44481
04430	44167
04431	-666666666
04434	35341
04435	40583
04438	33681
04441	31146
04442	-666666666
04443	31583
04444	49726
04448	40170
04449	36701
04450	44500
04451	28000
04453	35481
04454	-666666666
04455	42300
04456	40383
04457	40432
04459	34000
04460	36833
04461	43319
04462	34566
04463	32901
04464	33750
04468	38766
04469	8750
04471	43958
04472	41480
04473	45667
04474	53125
04475	38182
04476	47656
04478	32422
04479	34395
04481	47500
04485	34479
04487	33333
04488	40938
04489	42019
04490	40893
04491	26250
04492	48125
04493	38804
04495	40921
04496	42152
04497	40625
04530	51447
04535	50000
04537	50804
04538	36250
04539	31938
04541	-666666666
04543	37188
04544	51103
04547	35395
04548	43750
04551	40046
04553	47188
04554	47731
